entry_time,exit_time,entry_price,exit_price,direction,return,bars_held
50,78,1787.96,1784.4,1.0,-0.001991095997673331,28
78,120,1784.4,1786.33,-1.0,-0.0010815960546961545,42
120,155,1786.33,1773.46,1.0,-0.007204715813987295,35
155,194,1773.46,1785.5,-1.0,-0.0067889887564422935,39
194,245,1785.5,1791.87,1.0,0.003567628115373811,51
245,297,1791.87,1804.91,-1.0,-0.007277313644405092,52
297,375,1804.91,1806.03,1.0,0.0006205295554901902,78
375,411,1806.03,1815.11,-1.0,-0.005027601977818819,36
411,457,1815.11,1801.69,1.0,-0.007393491303557265,46
457,490,1801.69,1813.06,-1.0,-0.006310741581515122,33
490,517,1813.06,1801.21,1.0,-0.006535911663155036,27
517,561,1801.21,1796.35,-1.0,0.002698186219263765,44
561,647,1796.35,1825.15,1.0,0.016032510368246822,86
647,658,1825.15,1825.39,-1.0,-0.000131496041421153,11
658,663,1825.39,1817.11,1.0,-0.004536016960759226,5
663,729,1817.11,1840.25,-1.0,-0.012734506991871841,66
729,773,1840.25,1834.53,1.0,-0.003108273332427691,44
773,801,1834.53,1841.51,-1.0,-0.0038047892375703274,28
801,847,1841.51,1817.78,1.0,-0.012886164071875816,46
847,916,1817.78,1799.58,-1.0,0.01001221269900654,69
916,1108,1799.58,1824.52,1.0,0.013858789273052619,192
1108,1124,1824.52,1858.31,-1.0,-0.018519939490934556,16
1124,1171,1858.31,1852.94,1.0,-0.002889722382164339,47
1171,1196,1852.94,1870.08,-1.0,-0.009250164603278987,25
1196,1290,1870.08,1896.23,1.0,0.013983359000684592,94
1290,1310,1896.23,1920.88,-1.0,-0.012999477911434854,20
1310,1341,1920.88,1910.13,1.0,-0.005596393319728499,31
1341,1372,1910.13,1898.74,-1.0,0.005962944930449798,31
1372,1429,1898.74,1927.55,1.0,0.015173220135458187,57
1429,1448,1927.55,1939.16,-1.0,-0.00602319005992058,19
1448,1534,1939.16,1989.84,1.0,0.026135027537696587,86
1534,1658,1989.84,1935.38,-1.0,0.027369034696256844,124
1658,1694,1935.38,1920.33,1.0,-0.0077762506587854,36
1694,1723,1920.33,1936.69,-1.0,-0.008519369066775084,29
1723,1740,1936.69,1920.94,1.0,-0.008132432139371759,17
1740,1764,1920.94,1945.03,-1.0,-0.012540735265026415,24
1764,1817,1945.03,1934.95,1.0,-0.005182439345408518,53
1817,1873,1934.95,1937.02,-1.0,-0.001069795085144376,56
1873,1921,1937.02,1922.02,1.0,-0.007743853961239444,48
1921,1951,1922.02,1930.2,-1.0,-0.004255939064109704,30
1951,1973,1930.2,1919.68,1.0,-0.005450212413221411,22
1973,2010,1919.68,1936.44,-1.0,-0.008730621770295155,37
2010,2130,1936.44,1971.57,1.0,0.01814153808018837,120
2130,2137,1971.57,1984.78,-1.0,-0.006700243968005282,7
2137,2167,1984.78,1978.02,1.0,-0.003405919043924288,30
2167,2345,1978.02,1905.81,-1.0,0.0365062031728699,178
2345,2374,1905.81,1882.07,1.0,-0.012456645730686722,29
2374,2418,1882.07,1868.47,-1.0,0.0072260861710775615,44
2418,2463,1868.47,1874.12,1.0,0.0030238644452411645,45
2463,2550,1874.12,1853.12,-1.0,0.01120525900155811,87
2550,2567,1853.12,1823.9,1.0,-0.015768002072180876,17
2567,2622,1823.9,1828.4,-1.0,-0.0024672405285377508,55
2622,2649,1828.4,1819.4,1.0,-0.004922336469043942,27
2649,2674,1819.4,1830.46,-1.0,-0.006078927118830402,25
2674,2773,1830.46,1854.53,1.0,0.013149700075390847,99
2773,2810,1854.53,1858.58,-1.0,-0.002183841728092828,37
2810,2850,1858.58,1854.33,1.0,-0.0022866919906595617,40
2850,2896,1854.33,1851.86,-1.0,0.0013320174941893193,46
2896,2937,1851.86,1853.11,1.0,0.0006749970300130581,41
2937,2983,1853.11,1849.14,-1.0,0.0021423444911525813,46
2983,3020,1849.14,1845.7,1.0,-0.0018603242588446367,37
3020,3048,1845.7,1871.37,-1.0,-0.013908002383919316,28
3048,3070,1871.37,1822.74,1.0,-0.025986309495182658,22
3070,3116,1822.74,1831.71,-1.0,-0.004921162645248334,46
3116,3175,1831.71,1840.76,1.0,0.004940738435669445,59
3175,3235,1840.76,1833.43,-1.0,0.003982050892022859,60
3235,3253,1833.43,1822.52,1.0,-0.005950595332246178,18
3253,3287,1822.52,1839.54,-1.0,-0.009338717819283193,34
3287,3306,1839.54,1825.37,1.0,-0.007703012709699197,19
3306,3403,1825.37,1805.74,-1.0,0.010753984123766602,97
3403,3430,1805.74,1768.96,1.0,-0.020368380830019794,27
3430,3502,1768.96,1741.82,-1.0,0.01534234804630974,72
3502,3505,1741.82,1743.75,1.0,0.001108036421674008,3
3505,3578,1743.75,1729.2,-1.0,0.008344086021505381,73
3578,3588,1729.2,1709.26,1.0,-0.011531343974092056,10
3588,3632,1709.26,1715.92,-1.0,-0.003896423013467931,44
3632,3656,1715.92,1713.98,1.0,-0.0011305888386404783,24
3656,3716,1713.98,1714.29,-1.0,-0.0001808655876964771,60
3716,3762,1714.29,1725.42,1.0,0.006492483768790747,46
3762,3803,1725.42,1734.37,-1.0,-0.005187142840583636,41
3803,3903,1734.37,1769.44,1.0,0.02022059883415883,100
3903,3933,1769.44,1780.73,-1.0,-0.006380549778461031,30
3933,3968,1780.73,1774.93,1.0,-0.003257091192937711,35
3968,3991,1774.93,1783.88,-1.0,-0.005042452378403617,23
3991,4043,1783.88,1788.0,1.0,0.0023095723927617495,52
4043,4077,1788.0,1801.22,-1.0,-0.007393736017897057,34
4077,4097,1801.22,1780.74,1.0,-0.011370071396053838,20
4097,4239,1780.74,1747.25,-1.0,0.0188067881891798,142
4239,4303,1747.25,1741.55,1.0,-0.0032622692802976028,64
4303,4344,1741.55,1734.32,-1.0,0.004151474261433807,41
4344,4353,1734.32,1724.14,1.0,-0.005869735688915467,9
4353,4422,1724.14,1713.51,-1.0,0.0061653926015289295,69
4422,4466,1713.51,1700.08,1.0,-0.007837713231904186,44
4466,4495,1700.08,1714.89,-1.0,-0.008711354759776135,29
4495,4578,1714.89,1705.45,1.0,-0.005504726250663339,83
4578,4663,1705.45,1663.85,-1.0,0.024392389105514778,85
4663,4695,1663.85,1663.96,1.0,6.611172882187155e-05,32
4695,4721,1663.96,1671.1,-1.0,-0.0042909685328973435,26
4721,4731,1671.1,1670.83,1.0,-0.00016157022320628656,10
4731,4737,1670.83,1670.9,-1.0,-4.189534542731188e-05,6
4737,4739,1670.9,1673.94,1.0,0.0018193787779041681,2
4739,4745,1673.94,1672.69,-1.0,0.0007467412213102431,6
4745,4757,1672.69,1647.68,1.0,-0.014951963603536789,12
4757,4833,1647.68,1661.81,-1.0,-0.0085756943095745,76
4833,4958,1661.81,1723.2,1.0,0.03694164796216182,125
4958,4960,1723.2,1724.69,-1.0,-0.0008646703806871603,2
4960,4970,1724.69,1712.28,1.0,-0.007195496002180168,10
4970,5064,1712.28,1675.05,-1.0,0.021742939238909575,94
5064,5083,1675.05,1665.62,1.0,-0.005629682696038918,19
5083,5140,1665.62,1652.46,-1.0,0.007900961804012785,57
5140,5151,1652.46,1652.54,1.0,4.841266959565438e-05,11
5151,5153,1652.54,1650.27,-1.0,0.0013736429980514275,2
5153,5160,1650.27,1653.07,1.0,0.0016966920564513988,7
5160,5225,1653.07,1655.26,-1.0,-0.001324807781884596,65
5225,5265,1655.26,1659.18,1.0,0.00236820801565929,40
5265,5280,1659.18,1658.66,-1.0,0.0003134078279631858,15
5280,5320,1658.66,1661.86,1.0,0.0019292682044540488,40
5320,5382,1661.86,1644.4,-1.0,0.010506300169689231,62
5382,5417,1644.4,1637.63,1.0,-0.004117003162247612,35
5417,5449,1637.63,1667.34,-1.0,-0.01814207116381583,32
5449,5496,1667.34,1713.0,1.0,0.02738493648565976,47
5496,5497,1713.0,1715.06,-1.0,-0.0012025685931114083,1
5497,5648,1715.06,1767.97,1.0,0.030850232644922038,151
5648,5733,1767.97,1741.17,-1.0,0.01515862825726677,85
